zapoteco,español,categoria,audio
gulbirus ,tarantula,animal,gulbirus.mp3
gun,toro,animal,gún.mp3
rbes dad he,esta el señor?,frase,rbes_dad_he.mp3
gurral,corral,lugar,gurral.mp3
ghush,pueblo,palabra,gush.mp3
gutbill,guilas,animal,gut_bill.mp3
gut',se murio,palabra,gut_i.mp3
gutch,espina,palabra,gutch.mp3
gutch gur,ahuja ,articulodecostura,gutch_gur.mp3
guy,guayaba,fruta,guiy.mp3
ha vandein perdid,ya lo echaron a perde,frase,ha_vandein_perdid.mp3
hacha tasiu he,ya te vas a dormir?,frase,tasiu-he.mp3
hagualem,ya esta listo,frase,ha-gualem.mp3
harasi,ya esta durmiendo?,frase,harasi.mp3
huna,mujer,palabra,hu_na.mp3
huni,habla,palabra,hu_ni.mp3
hurau,lagartija,animal,hu_rau.mp3
hushar,cuchara,utencilio de cocina,hu_shar.mp3
hushi,tarde,palabra,hu_shi.mp3
hushin,noche,palabra,hu_shin.mp3
huyash,caro (precio),palbra,hu_yash.mp3
ikin,vamos a comer,frase,i_kin.mp3
iquita,voy a jugar,frase,i_quita.mp3
isuba rrub,voy a poner niztamal,frase,isuba_rrub.mp3
isun ni eh,va ha llegar?,frase,i_sun_ni_eh.mp3
icayu gel,oregear (arar la milpa ),trabajo,ica_yu_gel.mp3
icuan yug lode gun,vamos a uncir los toros,frase,yug_gun.mp3
idonti rub gin,vamos a comer una salsa,frase,idon_ti_rub_gin.mp3
idonti sut bud',vamos a comer un huevo,frase,idon_ti_sut_bud.mp3
illibiu nare,me vas a asustar ,frase,igibiu_nare.mp3
inalast nuh diza,para que no se olvide,frase,ina_last_nuh_.mp3
irunbiu nare,me vas a conocer,frase,irunbiu_nare.mp3
isilasa tibru,voy a descansar un pocoquito,frase,isi_lasa_tib_ru.mp3
isuchun  ,arreglarse,palabra,isu_chun.mp3
isunia,llegar,palabra,isunia.mp3
illagnu,nos vemos,frase de despedida,iyag_nu.mp3
izz,año,palabra,izz.mp3
kayai,se está cociendo,frase,ka__yai.mp3
ka  chandilasa liu,como te voy a creer,frase,ka_-chandilasa_liu.mp3
ka rel,haciendo,palabra,ka_rel.mp3
ka yac,pasando ,palabra,ka_yac.mp3
ka chandilasa,como creerlo,frase,ka-chandilasa.mp3
kalí,a dónde,palabra,kali.mp3
Kandian rrub,esta naciendo la milpa,frase,Kandian_rrub.mp3
lanii,fiesta,palabra,lanii.mp3
laá,guaje,verdura,laá.mp3
laachi,chepiche,hierba,laa_chi.mp3
laadein,ellos,pronombre,laa_dein.mp3
laagu,hierba de conejo,hierva,laa_gu.mp3
laat,ustedes,pronombre,laat.mp3
laí,diente,palabra,laay.mp3
lacu brein liú,cuanto se parece a ti,frase,brein_liu.mp3
lad',ropa,palabra,lady.mp3
lai lli,medio dia,frase,lai_gi.mp3
lan,"el  ""o"" ella",palabra,lan.mp3
langun,cuello,parte del cuerpo,lan_gun.mp3
lan gurral,en el corral,lugar,lan_gurral.mp3
lan gush,en el pueblo,lugar,lan_gush.mp3
laniaa,estomago,parte del cuerpo,laniaa.mp3
lanii ró,fiesta grande,frase,la_nii_ro.mp3
lan',adentro,palabra,lann.mp3
lan' diag,dentro del oido,frase,lann_diag.mp3
lás,delgado,palabra,las.mp3
lasdó,corazon,parte del cuerpo,las_doo.mp3
lash,pueblo,palabra,lash.mp3
latirs ret ,a donde quiera que vayan,frase,lat_rstis_ret.mp3
limón,limon,verdura,limón.mp3
lisá,mi casa,frase,lisa.mp3
lisú,tu casa,frase,lisu.mp3
liú,tu,pronombre,liu.mp3
liu chi,tu pues,frase,liu_chi.mp3
liu chú,tu vas a ir,frase,liu_chu.mp3
liun,enseñar,frase,liun.mp3
liunas,tu agarra,frase,liu-nas.mp3
líz,casa,palabra,liz.mp3
lo,cara,frase,lo.mp3
lo dan,encima del cerro,lugar,lo_dan.mp3
lo de bun,a esta gente,frase,lo_de_bun.mp3
lo de mied,alas personas,frase,lo_de_mied.mp3
lonia,terreno ó campo,palabra,lo_nia.mp3
lotush,en el pecho,frase,lo_tush.mp3
lozuth,en el hueso,frase,lo_zuth.mp3
lua,mi cara,frase,lua.mp3
man gas,zanate,animal,man_gas.mp3
man ser,aveja,animal,man_ser.mp3
mandad,mandado,palabra,mandad.mp3
manguguel ,tortolita,animal,manguguel.mp3
masíe,masea,palabra,masie.mp3
maung,mango,fruta,maung.mp3
mdiy ,gavilan,animal,mdiy.mp3
mel za,memelitas,comida,mel_za.mp3
mess,mesa,articulo,mess.mp3
